genus,species,image_count,country_count,sources
Platycoryne,latipetala Summerh.,30,0,GBIF
Holothrix,condensata Sond.,30,0,GBIF
Holothrix,cernua Burm.f.,30,0,GBIF
Holothrix,burchellii Lindl.,30,0,GBIF
Disa,pulchra Sond.,30,1,GBIF
Holcoglossum,quasipinifolium,30,0,GBIF
Disa,procera H.,30,1,GBIF
Holcoglossum,pumilum,30,0,GBIF
Holcoglossum,kimballianum,30,0,GBIF
Zeuxine,oblonga R.,30,0,GBIF
Disa,porrecta Sw.,30,1,GBIF
Orchis,x hybrida,30,0,GBIF
Hofmeisterella,falcata,30,0,GBIF
Orchis,spitzelii,30,0,GBIF
Bulbophyllum,clavatum,30,0,GBIF
Himantoglossum,comperianum Steven,30,0,GBIF
Disa,ophrydea Lindl.,30,1,GBIF
Epidendrum,tenuicaule,30,0,GBIF
Himantoglossum,caprinum ssp.,30,0,GBIF
Hetaeria,tetraptera Rchb.f.,30,0,GBIF
Disa,nivea H.,30,2,GBIF
Myrmecophila,christinae,30,0,GBIF
Orchis,sitiaca Renz,30,0,GBIF
Myrmecophila,wendlandii,30,0,GBIF
Hetaeria,oblongifolia Blume,30,0,GBIF
Orchis,simia ssp.,30,0,GBIF
Mystacidium,flanaganii,30,0,GBIF
Bulbophyllum,cylindraceum,30,0,GBIF
Mystacidium,venosum,30,0,GBIF
Disa,multifida Lindl.,30,1,GBIF
Orchis,purpurea ssp.,30,0,GBIF
Orchis,punctulata Steven,30,2,GBIF
Orchis,provincialis Balb.,30,0,GBIF
Telipogon,bowmanii,30,0,GBIF
Disa,micropetala Schltr.,30,1,GBIF
Disa,marlothii Bolus,30,1,GBIF
Neobathiea,spatulata,30,0,GBIF
Orchis,langei Lange,30,0,GBIF
Orchis,italica Poir.,30,0,GBIF
Orchis,galilaea Bornm.,30,0,GBIF
Orchis,canariensis Lindl.,30,0,GBIF
Tainia,cordifolia,30,1,GBIF
Orchis,anatolica ssp.,30,0,GBIF
Epidendrum,urbanianum,30,0,GBIF
Epidendrum,vandifolium,30,0,GBIF
Platylepis,occulta Thouars,30,0,GBIF
Taeniophyllum,pusillum,30,0,GBIF
Herminium,elisabethae Duthie,30,0,GBIF
Taeniophyllum,muelleri,30,0,GBIF
Bulbophyllum,fimbriatum,30,0,GBIF
Disa,flexuosa L.,30,1,GBIF
Zeuxine,longilabris Lindl.,30,0,GBIF
Disa,filicornis L.f.,30,1,GBIF
Hemipilia,tetraloba,30,0,GBIF
Hemipilia,takasago-montana Masam.,30,0,GBIF
Hemipilia,secundiflora Kraenzl.,30,0,GBIF
Bulbophyllum,forrestii,30,0,GBIF
Disa,ferruginea Thunb.,30,1,GBIF
Hemipilia,puberula King,30,0,GBIF
Disa,fasciata Lindl.,30,1,GBIF
